Protein IDs,Frontal Cortex Young 1,Frontal Cortex Young 2,Frontal Cortex Young 3,Frontal Cortex Young 4,Frontal Cortex Old 1,Frontal Cortex Old 2,Frontal Cortex Old 3,Frontal Cortex Old 4,T-test Significant,T-test p value (-log10),T-test Difference,Identified Peptides,Razor and Unique Peptides,Unique Peptides,Sequence Coverage [%],PEP,Mol. Weight [kDa],Chromosome,Strand,Position,Gene Names,Uniprot,Protein Names
IPI00131618;IPI00885385,0.3,-0.15,-0.26,0.01,0.05,0.25,0.2,-0.45,,0.07,0.04,10,9,9,35.8,1.08E-251,33.054,5,+,135499407,Stx1a;mCG_16704,O35526;Q497P1;Q5D0A4,"Syntaxin-1A;Neuron-specific antigen HPC-1;Syntaxin 1A (Brain);Syntaxin 1A (Brain), isoform CRA_a;Stx1a protein"
IPI00221566;IPI00775823,-0.27,0.04,0.02,0.13,0.07,-0.18,-0.02,0.14,,0.07,0.02,8,8,8,15.2,1.66E-64,86.239,X,+,54306792,Htatsf1;RP23-479M21.2-001;mCG_118916,Q8BGC0-1;Q8BGC0;B1AVC8,"HIV Tat-specific factor 1 homolog;HIV TAT specific factor 1;HIV TAT specific factor 1, isoform CRA_a"
IPI00114980;IPI00830971;IPI00831155,-0.24,-0.2,-0.24,-0.09,-0.36,-0.14,-0.14,-0.19,,0.07,-0.01,4,4,4,9.2,1.79E-25,55.164,5,-,149687628,Katnal1,Q8K0T4,Katanin p60 ATPase-containing subunit A-like 1;p60 katanin-like 1
IPI00749624;IPI00399953;IPI00621852;IPI00187335;IPI00918467;IPI00459591;IPI00918654,-0.17,-0.04,-0.06,-0.05,-0.09,-0.09,-0.01,-0.11,,0.07,0.01,16,16,12,9.1,9.05E-100,232.2,6,-,119874356,Wnk1;Prkwnk1;mKIAA0344,B7ZNJ4;Q8K2Q3;P83741;B2RRJ7;Q3TU87;Q3UZP3;Q6A083;Q6SLK2;Q7TPR2,"Wnk1 protein;Serine/threonine-protein kinase WNK1;Protein kinase with no lysine 1;Protein kinase, lysine-deficient 1;Putative uncharacterized protein;MKIAA0344 protein;Protein kinase lysine deficient 1"
IPI00349296;IPI00309636;IPI00753174,-0.04,0.15,0.05,0,0.09,0.08,-0.04,0.08,,0.07,0.01,7,6,6,5.4,2.68E-38,200.8,2,+,59450099,Tanc1;mKIAA1728,Q0VGY8-1;Q0VGY8;B9EJ77;Q80YQ9;Q8CHA0,"Protein TANC1;Tetratricopeptide repeat, ankyrin repeat and coiled-coil domain-containing protein 1;Tanc1 protein;MKIAA1728 protein"
IPI00132966;IPI00459797,0,0.07,0.07,-0.01,0.08,-0.05,-0.01,0.07,,0.07,-0.01,21,21,20,65.7,9.52E-255,40.742,3,+,79395295,Ppid,Q9CR16;Q3UB60;Q8BMX6,40 kDa peptidyl-prolyl cis-trans isomerase;Cyclophilin-40;Putative uncharacterized protein
IPI00230108;IPI00885558,0,0.06,0.02,0.02,0.05,-0.01,-0.04,0.06,,0.07,-0.01,29,29,29,71.7,0.00E+00,56.678,2,+,121239686,Pdia3;Erp;Erp60;Grp58,P27773,Protein disulfide-isomerase A3;Disulfide isomerase ER-60;ERp60;58 kDa microsomal protein;p58;ERp57
IPI00850337;IPI00850377;IPI00848807;IPI00848411;IPI00850243,-0.1,-0.02,-0.01,-0.05,-0.03,-0.04,-0.1,0.02,,0.07,0.01,22,22,1,94,0.00E+00,35.782,,,,,,
IPI00378681;IPI00845523;IPI00648709;IPI00845583;IPI00606977,-0.01,0.09,0.11,0.01,0,0.12,0.04,0.08,,0.07,0.01,36,36,36,8.2,4.42E-250,572.28,4,+,138936602,Ubr4;Kiaa0462;Zubr1,A2AN08-1;A2AN08;A2AN08-3;A2AN08-5,E3 ubiquitin-protein ligase UBR4;N-recognin-4;Zinc finger UBR1-type protein 1;p600
IPI00649326;IPI00619995;IPI00622556;IPI00648918;IPI00407425;IPI00828545;IPI00828766;IPI00515232;IPI00654168,0.07,0.02,-0.05,0.05,0.08,0.12,0.08,-0.14,,0.07,0.01,32,32,32,21.8,7.72E-297,233.98,11,+,77576783,Myo18a;Myspdz,Q9JMH9-6;Q9JMH9;B2RRE2;Q9JMH9-3;Q5QD55;Q5QD56;Q9JMH9-1;Q6PER1;Q9JMH9-4;Q5QD54;Q9JMH9-2;Q9JMH9-7;Q9JMH9-5,Myosin-XVIIIa;Myosin containing a PDZ domain;Molecule associated with JAK3 N-terminus;Myo18a protein;SP-R210 alpha subunit splice variant CL;SP-R210 alpha subunit splice variant CS
IPI00625118;IPI00648561,-0.33,,0.21,0.05,-0.04,-0.28,,0.43,,0.07,0.06,3,3,1,6.3,2.03E-33,73.4,4,-,131911845,Phactr4;Kiaa4120;RP23-63D8.1-003,Q501J7-2;Q501J7;A2ALF7,Phosphatase and actin regulator 4
IPI00309207;IPI00227864;IPI00755990;IPI00648594,-0.05,0.02,0.01,-0.02,-0.07,0,-0.02,0.03,,0.07,-0.01,17,17,17,39.3,1.99E-288,46.67,11,-,74487452,Pafah1b1;Lis-1;Lis1;Pafaha;RP23-194P5.2-002,P63005-1;P63005;Q3TIK0;Q3TJG1;Q3UGR6;Q3UH92;Q5SW18;P63005-2;Q3UHM0,"Platelet-activating factor acetylhydrolase IB subunit alpha;PAF acetylhydrolase 45 kDa subunit;PAF-AH alpha;PAFAH alpha;Lissencephaly-1 protein;Putative uncharacterized protein;Platelet-activating factor acetylhydrolase, isoform 1b, beta1 subunit"
IPI00126184;IPI00849762;CON__ENSEMBL:ENSBTAP00000018229;CON__Q3MHN5,-1.58,0.09,0,-1.3,-0.37,-1.08,-1.25,-0.48,,0.07,-0.1,16,16,16,54,5.39E-146,53.6,5,-,89846549,Gc,P21614,Vitamin D-binding protein;Group-specific component;Gc-globulin
IPI00109275;IPI00756073;IPI00754329;IPI00754831;IPI00856458,0.16,-0.05,-0.06,0.1,0.24,-0.12,0,-0.06,,0.07,-0.02,5,5,5,31.6,1.34E-19,34.67,7,-,148615643,Slc25a22;Gc1,Q9D6M3,Mitochondrial glutamate carrier 1;Glutamate/H(+) symporter 1;Solute carrier family 25 member 22
IPI00626501;IPI00877244;IPI00554992,0.09,-0.06,0.05,0,0.13,-0.02,0.09,-0.06,,0.07,0.01,18,18,12,14.1,2.91E-165,191.97,1,-,94914858,Kif1a;Atsv;Kif1,P33173;Q3UH16;Q6TA13;Q05BI6;Q05BP4;Q3UUN4;Q6P5H4,Kinesin-like protein KIF1A;Axonal transporter of synaptic vesicles;Putative uncharacterized protein;Kinesin-related microtuble-based motor protein;Kif1a protein
IPI00620436;IPI00653709;IPI00162994;IPI00117822;IPI00653350;IPI00653511,0.02,0.21,0.23,0.13,-0.07,0.17,0.27,0.3,,0.07,0.02,5,5,5,34.6,4.26E-23,27.136,13,+,51196249,Spin1;Spin,Q61142-2;Q61142;Q3TQU6;Q3UWM7;Q61142-1;Q3UX91;Q3TQU2;Q3TLF7,Spindlin-1;30000 Mr metaphase complex;SSEC P;Putative uncharacterized protein
IPI00830829;IPI00420593;IPI00882083;IPI00624662,-0.03,0.49,0.05,0.16,0.16,0.12,0.14,0.15,,0.07,-0.02,6,6,5,6.4,1.47E-26,140.37,1,-,99602625,Hisppd1;Kiaa0433;Vip2;AW555814,Q6ZQB6-1;Q6ZQB6;Q80V47;Q8BWK5;Q6ZQB6-2,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2;InsP6 and PP-IP5 kinase 2;Histidine acid phosphatase domain-containing protein 1;Hisppd1 protein;Putative uncharacterized protein
IPI00114802,0.04,0.14,-0.04,-0.04,0.04,0.06,-0.01,0.04,,0.07,0.01,8,8,8,30.6,4.04E-48,42.432,12,+,73862302,Ppm1a;Pppm1a;Pp2ca1b;Pp2ca3,P49443;Q8R4T7;Q9EQE2;Q9EQE3,Protein phosphatase 1A;Protein phosphatase 2C isoform alpha;PP alpha 2;Protein phosphatase 2C alpha 1b;Putative uncharacterized protein;Protein phosphatase 2C alpha 3
IPI00114818,0.01,0.34,0.32,0.26,0.25,0.16,0.05,0.38,,0.07,-0.02,8,8,7,19.9,4.16E-50,46.3,11,-,3997042,Sec14l2;RP23-81P12.5-006;mCG_9618,Q99J08;Q5SQ25,"SEC14-like protein 2;Alpha-tocopherol-associated protein;SEC14-like 2 (S. cerevisiae);SEC14-like 2 (S. cerevisiae), isoform CRA_b"
IPI00353672;IPI00845587,-0.12,0.06,0.06,-0.19,-0.23,-0.08,0.04,0.01,,0.07,-0.02,22,22,21,6.9,4.73E-89,428.25,2,+,67284059,Xirp2;Cmya3;Xin2,Q4U4S6-1;Q4U4S6;Q4U4S6-2;A9YSG0;A9YSG1;A9YSG3;B2BBR6;B2BBR7;B2BBR8;B2BBR9,Xin actin-binding repeat-containing protein 2;Cardiomyopathy-associated protein 3;Beta-xin;mXinbeta;Myomaxin;Myogenic MEF2-activated Xin-related protein;Xin-beta isoform A;Xin-beta isoform B;Xin-beta;Xeplin variant 1;Xeplin variant 2;Xeplin variant 3;Xeplin variant 4
IPI00129618;IPI00750142,0.13,0.02,-0.06,0.04,-0.01,0.16,0.14,-0.1,,0.07,0.01,20,20,13,44.7,0.00E+00,47.417,10,-,107934706,Syt1,P46096;Q3TPT3,Synaptotagmin-1;Synaptotagmin I;p65;Putative uncharacterized protein
IPI00320850;IPI00652521;IPI00881206;IPI00757789,-0.23,0.06,0,-0.06,-0.1,-0.13,-0.16,0.09,,0.07,-0.02,18,18,18,39.5,8.98E-292,79.343,3,-,35858763,Mccc1;Mcca,Q99MR8;Q3TVD9,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial;3-methylcrotonyl-CoA carboxylase 1;3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha;3-methylcrotonyl-CoA carboxylase biotin-containing subunit;Putative uncharacterized protein"
IPI00119113,0.07,-0.07,-0.11,-0.05,-0.02,0,0.02,-0.13,,0.07,0.01,13,13,10,42.1,0.00E+00,56.55,8,+,71612672,Atp6v1b2;Atp6b2;Vat2,P62814;B0LAC8,"V-type proton ATPase subunit B, brain isoform;Vacuolar proton pump subunit B 2;Endomembrane proton pump 58 kDa subunit;ATPase H+ transporting lysosomal V1 subunit B2"
IPI00407692;IPI00844689;IPI00858269,0.03,-0.07,-0.09,-0.06,-0.04,0.01,0.01,-0.13,,0.07,0.01,18,18,18,47.3,0.00E+00,68.325,16,-,44085517,Atp6v1a;Atp6a1;Atp6a2;Atp6v1a1,P50516-1;P50516;P50516-2,V-type proton ATPase catalytic subunit A;Vacuolar proton pump subunit alpha;V-ATPase 69 kDa subunit
IPI00111265;IPI00881762;IPI00857651,-0.02,-0.14,-0.12,-0.09,-0.11,-0.05,-0.02,-0.21,,0.07,-0.01,11,11,7,65.4,0.00E+00,32.967,6,+,17587113,Capza2;Cappa2;mCG_13469,P47754;Q3U7G3;Q3UBZ3;Q3UCD2;Q5DQJ3,"F-actin-capping protein subunit alpha-2;CapZ alpha-2;Putative uncharacterized protein;F-actin capping protein alpha-2 subunit;Capping protein (Actin filament) muscle Z-line, alpha 2, isoform CRA_c"
IPI00136912;IPI00876231,-0.06,-0.08,-0.12,-0.16,0.03,-0.33,-0.19,0.16,,0.07,0.02,5,5,5,25.5,8.55E-44,33.995,4,+,147965628,Srm;RP23-331P21.3-001;mCG_16662,Q64674;Q3UJL7;Q543H0;Q8BSZ8,Spermidine synthase;Putrescine aminopropyltransferase;Putative uncharacterized protein;MCG16662
IPI00775849,0.26,0.14,0.05,0.03,0.06,0.29,0.13,0.07,,0.07,0.02,17,1,1,46.3,0.00E+00,59.897,7,-,29678275,Actn4;FR-17,Q61063,Alpha-actinin
IPI00890037;IPI00889824;IPI00875486;IPI00649708;IPI00396743;IPI00828414;IPI00467346;IPI00649451,0.22,-0.18,-0.16,-0.03,-0.01,0.08,0.01,-0.34,,0.07,-0.03,30,30,30,38,3.74E-257,131.44,11,-,97370654,P140;RP23-157O10.7-004;RP23-157O10.7-001;RP23-157O10.7-002;Kiaa1684,B1AQX6;B1AQX9;B1AQX7;Q9QWI6-1;Q9QWI6;Q9QWI6-2;Q9QWI6-3,P140 gene;p130Cas-associated protein;p140Cap;SNAP-25-interacting protein
IPI00889253;IPI00889216;IPI00889231;IPI00406596;IPI00889225;IPI00889244;IPI00758262;IPI00754425;IPI00757126;IPI00750882,0.03,0.02,-0.12,0.11,-0.03,-0.01,0.11,0.03,,0.07,0.01,10,10,10,8.2,2.91E-42,162.91,2,-,34531704,Gapvd1;Gapex5;Kiaa1521,Q6PAR5-4;Q6PAR5;Q6PAR5-1;Q6PAR5-6;Q6PAR5-2;Q6PAR5-5;Q6PAR5-3,GTPase-activating protein and VPS9 domain-containing protein 1;Rab5-activating protein 6;GAPex-5
IPI00411079;IPI00331179;IPI00131701;IPI00230141,0.12,0.03,0.01,0.07,0.23,0.09,0.01,-0.16,,0.07,-0.02,10,10,9,18,1.38E-44,79.076,X,-,138752536,Acsl4;RP23-161L11.10-001;RP23-161L11.10-002;mCG_117963;Acs4;Facl4,Q5D071;Q8BW44;Q91YN3;Q9QUJ7-1;Q9QUJ7;Q9QUJ7-2,"Acyl-CoA synthetase long-chain family member 4;Putative uncharacterized protein;Acyl-CoA synthetase long-chain family member 4, isoform CRA_c;Long-chain-fatty-acid--CoA ligase 4;Long-chain acyl-CoA synthetase 4"
IPI00126940;IPI00138084;IPI00875531,-0.04,0.39,0.34,0.14,0.09,0.08,0.07,0.48,,0.07,-0.03,10,10,10,31,2.36E-123,40.148,14,+,21871861,Adk,P55264-1;P55264;Q3TZR1;Q8BMC5;Q8BWS6;Q99PB8;P55264-2,Adenosine kinase;Adenosine 5'-phosphotransferase;Putative uncharacterized protein
IPI00153266;IPI00653905;IPI00850402;IPI00830434;IPI00757305,0.11,0.09,0.01,0.09,0.26,-0.01,-0.01,0.11,,0.07,0.01,11,11,11,41.7,1.23E-144,47.129,1,+,181598341,Sccpdh,Q8R127;Q3ULN6,Probable saccharopine dehydrogenase;Putative uncharacterized protein
IPI00877214;IPI00322931,-0.12,0.05,0.05,0.06,-0.03,-0.02,0.01,0.13,,0.07,0.01,13,13,8,35.3,3.96E-108,43.267,13,-,35069618,Peci,Q9WUR2-1;Q9WUR2;Q3TCD4;Q9WUR2-2,"Peroxisomal 3,2-trans-enoyl-CoA isomerase;Dodecenoyl-CoA isomerase;Delta(3),delta(2)-enoyl-CoA isomerase;Putative uncharacterized protein"
IPI00474157;IPI00875326,-0.14,-0.05,-0.07,-0.14,-0.12,-0.05,-0.1,-0.15,,0.07,-0.01,7,7,7,30.7,8.50E-100,37.895,7,-,20286676,Tomm40;Mom35;Tom40,Q9QYA2;Q3UQD0,Mitochondrial import receptor subunit TOM40 homolog;Translocase of outer membrane 40 kDa subunit homolog;Mitochondrial outer membrane protein of 35 kDa;Protein Haymaker;Putative uncharacterized protein
IPI00753459;IPI00755459,0.27,-0.05,-0.1,0.08,0.09,0.13,0.13,-0.24,,0.07,-0.02,19,19,1,24.4,5.17E-153,106.12,2,-,25146701,Grin1;RP23-132N23.20-006;RP23-132N23.20-005,A2AI14;A2AI17,Glutamate receptor ionotropic NMDA1 (Zeta 1)
IPI00131887,0.19,-0.24,-0.15,0,0.04,0.15,0.05,-0.33,,0.07,0.03,3,3,3,11.2,1.87E-08,35.56,4,-,58978312,Ptgr1;Ltb4dh;RP23-211P15.3-001;mCG_12399,Q91YR9;A2ALW3;Q4FJY5,Prostaglandin reductase 1;NADP-dependent leukotriene B4 12-hydroxydehydrogenase;15-oxoprostaglandin 13-reductase;Leukotriene B4 12-hydroxydehydrogenase;Ltb4dh protein
IPI00115117;IPI00649391;IPI00648577;IPI00648759,0.11,-0.02,0.19,0.13,0.09,-0.02,-0.05,0.32,,0.07,-0.02,6,6,6,30,3.97E-108,38.384,4,-,43040894,Stoml2;Slp2;RP23-124L1.8-001;mCG_1040650;RP23-124L1.8-009;RP23-124L1.8-005,Q99JB2;A2AG40;A2AG39;A2AG38,Stomatin-like protein 2;MCG1040650;Stomatin (Epb7.2)-like 2
IPI00119785;IPI00403488;IPI00626469;IPI00461711,-0.12,-0.13,-0.15,-0.17,0.11,-0.41,-0.36,-0.02,,0.07,-0.02,3,3,3,7.6,1.38E-05,76.356,9,-,44118299,C2cd2l;Tmem24;mKIAA0285,Q80X80;Q3U590;Q8CAA2;Q6PHC0;Q9DBJ2;Q80U48,C2 domain-containing protein 2-like;Transmembrane protein 24;Putative uncharacterized protein;C2cd2l protein;MKIAA0285 protein
IPI00354819;IPI00409817;IPI00474757;IPI00462232;IPI00848866;IPI00458035;IPI00850299,-0.03,0,0.01,0.03,0.11,0,-0.03,-0.04,,0.07,0.01,6,6,2,64.9,9.30E-182,16.961,14,-,56039106,Myl6;Myln;mCG_140959,Q60605-2;Q60605;B0LAC7;Q3TIG9;Q642K0;Q60605-1,"Myosin light polypeptide 6;Smooth muscle and nonmuscle myosin light chain alkali 6;Myosin light chain alkali 3;LC17;Myosin light polypeptide 6 alkali smooth muscle and non-muscle protein;Putative uncharacterized protein;MCG140959, isoform CRA_a;Myl6 protein;Myosin, light polypeptide 6, alkali, smooth muscle and non-muscle"
IPI00125035;IPI00651878;IPI00649018;IPI00752884;IPI00666165;IPI00648501,0.29,-0.3,-0.49,-0.29,-0.03,-0.05,-0.12,-0.43,,0.07,0.04,5,5,5,33.6,2.17E-52,25.061,4,+,101091882,Ak3l1;Ak-4;Ak3b;Ak4;RP23-301M3.3-001;RP23-301M3.3-004;RP23-301M3.3-006,Q9WUR9;Q3U489;Q3UYL0;A2ARF5;A2ARF3,"Adenylate kinase isoenzyme 4, mitochondrial;Adenylate kinase 3-like;ATP-AMP transphosphorylase;Adenylate kinase 3 alpha-like 1;Putative uncharacterized protein"
IPI00114962;IPI00831541,0.16,-0.21,-0.47,-0.15,-0.08,-0.09,-0.11,-0.52,,0.07,-0.03,9,9,8,18.6,8.96E-66,72.954,7,-,105270076,Capn5;Ncl3;mCG_124265,O08688;Q3TDS7;Q3TPL4;Q3UTF3;Q3U2P3,"Calpain-5;New calpain 3;Putative uncharacterized protein;Calpain 5, isoform CRA_a"
IPI00553798,0.01,-0.03,0.01,0.04,0.08,0.02,-0.02,-0.03,,0.07,0.01,183,183,124,61.7,0.00E+00,604.25,19,+,9063774,Ahnak,A0JLR7;A0PJF4;Q3UYW8;Q6UIL4;Q8BKS2;Q8BRB8;Q8CGE7;Q8VDN3,Ahnak protein;Putative uncharacterized protein;AHNAK
IPI00620256;IPI00400300;IPI00230435;IPI00886130,0.15,0.26,0.27,0.07,0.07,0.2,0.16,0.4,,0.07,0.02,20,20,20,45,3.74E-190,74.237,3,-,88285996,Lmna;Lmn1;mCG_8830,P48678-1;P48678;B3RH23;Q3U7I5;Q3UCU3;Q8BNX5;P48678-2;B3RH24;Q3U733;P48678-3;Q9CTL2,"Lamin-A/C;Lamin A;Lamin A, isoform CRA_a;Putative uncharacterized protein;Lamin C"
IPI00754976;IPI00672807;IPI00345911;IPI00754636,,0,0.2,0.09,0.1,0.11,0.04,0.09,,0.07,-0.01,6,1,1,41.7,1.77E-66,17.725,,,,,,
IPI00121151;IPI00323058;IPI00923066;IPI00462456,-0.09,-0.12,-0.15,-0.11,-0.09,-0.19,-0.13,-0.08,,0.07,-0.01,10,10,10,35.7,2.68E-42,49.795,17,-,56207673,Ubxn6;Ubxd1;Ubxdc2,Q99PL6-1;Q99PL6;Q99PL6-2,UBX domain-containing protein 6;UBX domain-containing protein 1
IPI00330819;IPI00853926;IPI00853900;IPI00757837;IPI00853687;IPI00470036;IPI00222845;IPI00880909;IPI00222250;IPI00886273;IPI00886412;IPI00875231;IPI00881536;IPI00881045;IPI00222421;IPI00886349;IPI00885226,0.17,0.15,0.11,-0.15,0.1,-0.16,0.06,0.36,,0.07,0.02,7,7,6,15.7,1.57E-15,53.937,18,-,25637616,Brunol4;Brul4;Celf4,Q7TSY6-5;Q7TSY6;Q7TSY6-6;Q7TSY6-1;Q7TSY6-3;Q7TSY6-2;Q7TSY6-4;Q7TSY6-7,CUG-BP- and ETR-3-like factor 4;Bruno-like protein 4;RNA-binding protein BRUNOL-4
IPI00171974;IPI00753915;IPI00317752,-0.13,-0.11,-0.16,-0.14,-0.13,-0.25,-0.19,0.09,,0.06,0.01,13,13,13,62.9,2.84E-263,24.936,2,+,154482797,Chmp4b,Q9D8B3,Charged multivesicular body protein 4b;Chromatin-modifying protein 4b
IPI00111158;IPI00857267;IPI00857221;IPI00856877;IPI00857603;IPI00751689,-0.29,-0.61,-0.33,-0.34,-0.15,-0.58,-0.54,-0.21,,0.06,0.03,10,10,10,9.8,1.22E-57,130.7,9,+,107302064,Cacna2d2;Kiaa0558,Q6PHS9-6;Q6PHS9;Q6PHS9-3;Q6PHS9-1;Q6PHS9-5;Q6PHS9-2;Q6PHS9-4;Q920H7,Voltage-dependent calcium channel subunit alpha-2/delta-2;Voltage-gated calcium channel subunit alpha-2/delta-2;Protein ducky;Voltage-dependent calcium channel subunit alpha-2-2;Voltage-dependent calcium channel subunit delta-2;Voltage-dependent calcium channel alpha-2-delta-2 mutant subunit 1
IPI00331577;IPI00129395,0.26,-0.22,-0.34,-0.27,0.23,-0.07,-0.1,-0.49,,0.06,0.04,2,2,2,6.6,2.90E-26,55.872,8,-,124405052,Slc7a5;Lat1,Q3UG45;Q3UQM7;Q8R0X8;Q9Z127,"Putative uncharacterized protein;Solute carrier family 7 (Cationic amino acid transporter, y+ system), member 5;Large neutral amino acids transporter small subunit 1;L-type amino acid transporter 1;Solute carrier family 7 member 5;4F2 light chain"
IPI00121440;IPI00848492;IPI00757916,-0.22,0.19,0.17,0.09,-0.02,-0.08,-0.06,0.3,,0.06,-0.02,13,13,13,64.3,6.27E-179,27.623,7,+,50699500,Etfb,Q9DCW4,Electron transfer flavoprotein subunit beta
IPI00749720;IPI00469255,0.13,-0.04,0.06,0,-0.01,0.01,0.05,0.07,,0.06,-0.01,13,13,13,17,7.88E-71,110.14,1,+,129765363,Rab3gap1;Kiaa0066;Rab3gap,Q3TPB6;Q3UYK8;Q80UJ7,Putative uncharacterized protein;Rab3 GTPase-activating protein catalytic subunit;RAB3 GTPase-activating protein 130 kDa subunit;Rab3-GAP p130
IPI00848443;IPI00474783;IPI00649984;IPI00756922,-0.02,-0.08,-0.09,-0.08,0.09,-0.06,-0.16,-0.09,,0.06,0.01,15,15,12,6.8,2.01E-101,269.96,11,+,83943592,Acaca;Acac;Gm738,Q5SWU9-2;Q5SWU9;Q5SWU9-1;Q9ESZ5,Acetyl-CoA carboxylase 1;ACC-alpha;Acetyl-CoA carboxylase 265;Biotin carboxylase;Acetyl-CoA carboxylase
IPI00129193;REV__IPI00954627;REV__IPI00138103;REV__IPI00882077,-0.05,-0.03,-0.01,-0.06,-0.03,-0.19,-0.07,0.1,,0.06,-0.01,12,12,10,6.3,2.19E-19,204,16,-,5086384,Ppl,Q9R269;Q3UQD7;Q6PG96;Q8CEH5,Periplakin;Putative uncharacterized protein;Ppl protein
IPI00458039;IPI00228167,-0.06,0.11,0.04,-0.03,-0.03,0.04,-0.01,0.03,,0.06,-0.01,7,7,7,1.4,5.28E-20,630.33,4,+,32744094,Mdn1;RP23-69G24.2-001;Gm135,A2ANY6;Q3TPE2;Q5U481;Q6IQZ8;Q6R5G2,Midasin homolog (Yeast);Putative uncharacterized protein;Mdn1 protein
IPI00126115;IPI00278561;IPI00653231,-0.1,-0.21,-0.23,-0.05,-0.11,-0.15,-0.06,-0.23,,0.06,0.01,1,1,1,4.4,2.37E-27,35.406,19,+,45122307,Sfxn3,Q91V61-1;Q91V61;Q91V61-2;Q3U4F0,Sideroflexin-3;Putative uncharacterized protein
IPI00345097;IPI00757545,-0.1,-0.14,-0.17,-0.01,-0.26,-0.14,0.04,-0.01,,0.06,0.01,11,11,11,9.9,6.35E-86,147.55,2,+,5872515,Upf2;RP23-307E15.7-001,A2AT37;Q810R2,UPF2 regulator of nonsense transcripts homolog (Yeast);Upf2 protein
IPI00923060;IPI00131881;IPI00918072,-0.11,-0.05,-0.03,,0.02,-0.25,-0.25,0.34,,0.06,0.03,5,5,5,12.1,4.89E-20,83.967,9,+,70526846,Adam10;RP24-68C7.1-001;mCG_2943;Kuz;Madm;ADAM10,B8JJJ0;O35598;B3SRB2;Q6NZC0,A disintegrin and metallopeptidase domain 10;Disintegrin and metalloproteinase domain-containing protein 10;Mammalian disintegrin-metalloprotease;Kuzbanian protein homolog;Adam10 protein
IPI00675985,0.22,-0.02,-0.21,0.09,-0.05,0.23,0.24,-0.25,,0.06,0.03,7,7,7,23.4,4.22E-18,48.972,18,+,40418015,Kctd16;Gm1267;Kiaa1317,Q5DTY9,BTB/POZ domain-containing protein KCTD16
IPI00849113;IPI00399483,0.05,0.16,0.08,-0.15,0.05,-0.01,0.01,0.15,,0.06,0.01,2,2,2,8.3,1.99E-05,14.446,19,+,6057951,Fau,P62862,40S ribosomal protein S30
IPI00551112;IPI00648438;IPI00649069;IPI00225489,-0.13,-0.19,-0.3,-0.16,-0.22,-0.13,-0.1,-0.29,,0.06,0.01,11,11,10,5.9,1.41E-32,221.36,11,+,105451300,Tanc2;Kiaa1148;RP23-276H1.1-002,A2A690-2;A2A690;A2A690-1;A2A689,"Protein TANC2;Tetratricopeptide repeat, ankyrin repeat and coiled-coil domain-containing protein 2;Tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2"
IPI00762371,0.05,-0.18,-0.05,0.04,0.1,0.1,0.03,-0.3,,0.06,0.02,12,12,11,10.1,3.67E-61,161.9,10,+,89207771,Uhrf1bp1l;Kiaa0701,A2RSJ4;Q8C318;Q922V6;Q9D574,UHRF1-binding protein 1-like;Putative uncharacterized protein;Uhrf1bp1l protein
IPI00343249,0.12,0.03,0.03,-0.06,0.11,0,0.03,-0.05,,0.06,-0.01,3,3,3,2.9,6.64E-09,161.09,18,+,44994112,Ythdc2,B2RR83;Q3UST9,Probable ATP-dependent RNA helicase YTHDC2;Putative uncharacterized protein
IPI00308885;IPI00845678;IPI00830313;IPI00830195;IPI00853695,-0.09,0.03,0.02,0,-0.03,-0.07,-0.03,0.07,,0.06,-0.01,37,37,7,84.8,0.00E+00,60.955,1,-,55134679,Hspd1;Hsp60,P63038-1;P63038,"60 kDa heat shock protein, mitochondrial;Heat shock protein 60;60 kDa chaperonin;Chaperonin 60;Mitochondrial matrix protein P1;HSP-65"
IPI00755241;IPI00319320;IPI00874565;IPI00656204,0.17,0,-0.05,0.07,0.09,0.16,0.13,-0.13,,0.06,0.01,28,28,28,27.8,6.75E-234,129.51,2,-,80340679,Nckap1;RP23-33L19.3-002;Hem2;Kiaa0587;Nap1;RP23-33L19.3-001;mCG_11096,A1L0U6;A2AS98;P28660-1;P28660;A2AS97;P28660-2,Nckap1 protein;NCK-associated protein 1;Nck-associated protein 1;p125Nap1;Membrane-associated protein HEM-2;Brain protein H19;MH19
IPI00621027;IPI00752825,-0.07,-0.06,-0.06,-0.02,-0.05,-0.09,-0.17,0.06,,0.06,-0.01,10,10,10,16.2,2.62E-98,110.33,10,-,76058507,Col6a2,Q02788,Collagen alpha-2(VI) chain
IPI00125975;IPI00461756,0.04,-0.06,-0.28,-0.22,,-0.08,0.01,-0.27,,0.06,0.02,4,4,4,11.7,6.88E-56,50.664,2,+,116946845,Spred1,Q924S8-1;Q924S8,"Sprouty-related, EVH1 domain-containing protein 1"
