Protein IDs,Frontal Cortex Expression Change,Hippocampus Expression Change,Cerebellum Expression Change,Heart Expression Change,Kidney Expression Change,Identified Peptides,Razor and Unique Peptides,Unique Peptides,Sequence Coverage [%],PEP,Mol. Weight [kDa],Chromosome,Strand,Chromosomal Position,Gene Names,Uniprot,Protein Names
IPI00798483;IPI00918951;IPI00551347;IPI00454179;IPI00918799;IPI00919052;IPI00659927;IPI00918813;IPI00918718;IPI00653749,0.01,-0.16,-0.02,0.22,0.5,8,8,7,21.6,5.77E-55,52.3,2,-,22796753,Abi1;Ssh3bp1;RP23-436J19.3-004;RP23-436J19.3-005;RP23-436J19.3-003;RP23-436J19.3-001;mCG_15157;RP23-436J19.3-009;RP23-436J19.3-010;RP23-436J19.3-002;RP23-436J19.3-011;RP23-436J19.3-007;RP23-436J19.3-006,Q8CBW3-1;Q8CBW3;B7ZCT9;B7ZCU0;Q8CBW3-3;Q3TJ64;Q8CBW3-4;Q3TJR5;B7ZCU3;Q3UBL3;B7ZCU4;Q3TMI0;Q6AXD3;Q8CBW3-2;Q3TPY5;Q3UAH6;B7ZCU5;B7ZCU2;Q8CBW3-5;B7ZCU1,"Abl interactor 1;Abelson interactor 1;Spectrin SH3 domain-binding protein 1;Eps8 SH3 domain-binding protein;e3B1;Ablphilin-1;Abl-interactor 1;Putative uncharacterized protein;Abl-interactor 1, isoform CRA_a;Abi1 protein"
IPI00798550;IPI00122577;IPI00381563,0.18,0.09,1.16,0.15,0.17,12,12,12,14.5,6.51E-69,118.1,11,+,61770265,Specc1;Kiaa4061,Q5SXY1-1;Q5SXY1;Q5SXY1-2;Q3UPB2;Q5SXY1-3,Sperm antigen with calponin homology and coiled-coil domains 1;Putative uncharacterized protein
IPI00798576,0.07,,0.16,-0.25,,5,5,5,2.3,5.31E-36,309.5,6,+,125496792,Vwf,Q8CIZ8-1;Q8CIZ8;A2VCN5;Q2I0J7;Q2I0J8;Q3U017;Q9WUQ6,von Willebrand factor;von Willebrand antigen 2;von Willebrand antigen II;Vwf protein;VWF;Putative uncharacterized protein;Von Willebrand factor
IPI00798610;IPI00403332;IPI00649581;REV__IPI00221825;IPI00647969,0.02,-0.05,-0.22,0.21,0.05,12,12,11,18,2.58E-103,78,11,-,115445571,Gga3;RP23-392H19.12-003;RP23-392H19.12-001;Kiaa0154;RP23-392H19.12-002,A2A9W6;Q3V1Y0;Q8BMI3;A2A9W7,"Golgi associated, gamma adaptin ear containing, ARF binding protein 3;Putative uncharacterized protein;ADP-ribosylation factor-binding protein GGA3;Golgi-localized, gamma ear-containing, ARF-binding protein 3"
IPI00798614,,,,,,2,2,2,7.1,3.24E-04,33.5,1,-,4764533,Mrpl15,Q9CPR5-1;Q9CPR5,"39S ribosomal protein L15, mitochondrial"
IPI00807802,,0.1,,,,1,1,1,19,3.26E-24,6.5,,,,,P0C913,Putative overexpressed in colon carcinoma 1 protein homolog
IPI00807899,0.05,0.12,,,,8,1,1,29.9,2.11E-87,32.7,,,,Tardbp,Q05C33,Tardbp protein
IPI00807902;IPI00132039;IPI00750596;IPI00754142,-0.02,-0.1,0.02,-0.06,-0.19,6,6,6,17.8,6.51E-91,34.3,2,+,90687335,Mtch2;RP23-147D3.1-001;mCG_13498;RP23-147D3.1-002;RP23-147D3.1-003,Q05C68;Q791V5;A2AFW7;Q3UA17;Q9D050;A2AFW6,"Mtch2 protein;Mitochondrial carrier homolog 2;Mitochondrial carrier homolog 2 (C. elegans);MCG13498, isoform CRA_d;Putative uncharacterized protein"
IPI00807983;IPI00117022,,-1.31,,-0.03,1.18,6,6,5,24.8,5.03E-33,43.9,12,-,114595650,AI324046;mFLJ00385,P03987-1;P03987;Q6KAM2;P03987-2,Ig gamma-3 chain C region;MFLJ00385 protein
IPI00808026,0.08,0,-0.95,,,3,2,2,8.2,1.87E-06,60.3,9,+,118415436,Golga4,Q05CM2,Golga4 protein
IPI00808044,-0.09,-0.26,,,,2,2,2,4.9,7.26E-21,50.7,16,+,11984206,2700045P11Rik,Q9CZN4,Putative uncharacterized protein
IPI00808096;IPI00459177;IPI00830981;IPI00830556;IPI00474517,0.05,0.1,-0.26,0.47,0.39,18,18,18,32.1,5.50E-163,86,X,+,155852510,Map7d2;Mtap7d2;RP23-39I7.2-002,A2AG50-1;A2AG50;A2AG50-2;A2AG51;Q3TS73,MAP7 domain-containing protein 2;MAP7 domain containing 2;Putative uncharacterized protein
IPI00808129,-0.02,-0.01,-0.01,-0.03,0.03,11,1,1,38,3.49E-59,32.7,12,+,112776381,Eif5,Q05CH7,Eif5 protein
IPI00808243;IPI00665002;IPI00886354,,0.15,,,0.32,1,1,1,1.3,2.84E-06,86.3,8,+,119781104,Cmip;Kiaa1694;4933407C03Rik,Q9D486-1;Q9D486;B2RY70;Q9D486-2;Q9D486-4,C-Maf-inducing protein;4933407C03Rik protein
IPI00808550,-0.08,-0.01,0.55,,,5,5,5,12.5,2.12E-138,73.3,13,+,97841598,Fam169a;Kiaa0888,Q5XG69,UPF0611 protein FAM169A
IPI00816873,0.01,-0.12,,,,10,1,1,13.3,3.58E-55,133,,,,Rims1;Kiaa0340;Rab3ip1;Rim1,Q99NE5-7;Q99NE5,Regulating synaptic membrane exocytosis protein 1;Rab3-interacting molecule 1;Rab3-interacting protein 1
IPI00816904;IPI00337028;IPI00661259;IPI00222944,0.21,0.08,0.11,0.13,0.57,11,11,11,5.3,6.12E-15,257.5,1,-,80497763,Dock10;Kiaa0694;Ziz3,Q8BZN6-3;Q8BZN6;Q8BZN6-2;Q8BZN6-1;B2RWY0,Dedicator of cytokinesis protein 10;Zizimin-3;Dock10 protein
IPI00816906,-0.08,,,,,34,1,1,10.1,2.68E-128,436.8,14,+,61757294,Sacs;Kiaa0730,Q9JLC8-2;Q9JLC8,Sacsin
IPI00816914;IPI00828891;IPI00339428;IPI00222462;IPI00875148,,-0.1,2.31,,0.08,7,7,7,4.8,2.27E-75,241.4,4,-,98603356,Dock7;Gm430;Kiaa1771;RP23-329P19.2-007;RP23-329P19.2-001,Q8R1A4-1;Q8R1A4;A2A9M4;A2A9M5;Q8R1A4-2;Q3U806;Q7TPP0,Dedicator of cytokinesis protein 7;Dedicator of cytokinesis 7;Putative uncharacterized protein;Dock7 protein
IPI00816932;IPI00410957;IPI00881560;IPI00761673,-0.13,0.19,-0.4,-0.67,0.05,16,10,10,10.7,2.96E-104,213.4,18,+,74602259,Myo5b;Kiaa1119,P21271-3;P21271;P21271-1;Q6PER8,Myosin-Vb;Myo5b protein
IPI00816946;IPI00225670,-0.02,0,-0.18,0.06,-0.24,18,18,18,34.3,1.59E-302,83.7,12,+,79327721,Gphn;mKIAA1385,A0JNY3;Q8BUV3;Q571C2,Gphn protein;Gephyrin;MKIAA1385 protein
IPI00817011;IPI00222072;IPI00229629;IPI00856932;IPI00857754,-0.16,0.64,-0.29,0.43,0.14,10,10,10,4.2,2.69E-17,337.8,5,-,73411430,Fryl;mKIAA0826,Q8CHD0;Q8BIA1,MKIAA0826 protein;Putative uncharacterized protein
IPI00817029;IPI00111821,-0.16,0.08,0.21,0.11,-0.04,11,11,11,25.7,2.38E-50,60.4,16,-,5013999,Np60,Q922P9,Nuclear protein NP60
IPI00817040,0.03,0.09,,,,16,1,1,22.1,6.61E-71,97.9,,,,,,
IPI00828218;IPI00918225;IPI00134457;IPI00880253;IPI00881054;IPI00828751;IPI00310168;IPI00875779;IPI00881177,-0.74,-0.16,0.05,0.02,-0.88,9,9,9,4.5,5.58E-16,268.8,16,+,91647751,Son;mKIAA1019,Q9QX47-1;Q9QX47;Q80TM4;Q811G3;Q8BS91;Q8C9T5;Q9QX47-2,SON protein;MKIAA1019 protein;Son protein;Putative uncharacterized protein
IPI00828221;IPI00119952;IPI00122975;IPI00874422;IPI00268767;IPI00230091;IPI00230092,0.01,-0.34,0.21,,,7,7,4,22.9,5.69E-95,36.2,X,+,162676843,Gpm6b;RP23-239H22.1-006;mCG_7562;M6b;RP23-239H22.1-007;RP23-239H22.1-002,A2AEG6;P35803-1;P35803;P35803-8;Q3US81;P35803-3;A2AEG8,"Glycoprotein m6b;Glycoprotein m6b, isoform CRA_g;Neuronal membrane glycoprotein M6-b;Putative uncharacterized protein;Glycoprotein m6b, isoform CRA_f;Glycoprotein m6b, isoform CRA_b"
IPI00828222;IPI00338565;IPI00122438,,-0.19,,-0.17,-0.14,10,10,10,5.1,4.22E-85,418.3,2,-,125126330,Fbn1;RP23-368I1.1-001;Fbn-1,O88840;A2AQ53;Q3TNW1;Q3TRZ5;Q60784;Q7TMG6;Q99L19;Q61554,Mutant fibrillin-1;Fibrillin 1;Putative uncharacterized protein;Fibrillin-1;Fbn1 protein
IPI00828223;IPI00222977;IPI00649821,-0.06,-0.1,,,0.24,6,6,6,14.7,1.59E-16,70.6,11,-,116106483,Srp68;RP23-174D24.5-001;mCG_6849;RP23-174D24.5-002,A2AAN1;Q8BMA6;A2AAN2;Q8K258,Signal recognition particle 68;Signal recognition particle 68 kDa protein;Srp68 protein
IPI00828225;IPI00230422,0.04,0.2,0.01,0.13,0.09,13,13,13,41.6,9.06E-119,28,X,-,70931521,Bcap31;RP23-329M9.5-001;mCG_8084;Bap31,A2ALM8;Q3U9U5;Q61335,"B-cell receptor-associated protein 31;B-cell receptor-associated protein 31, isoform CRA_c;Putative uncharacterized protein;BCR-associated protein Bap31;p28 Bap31"
IPI00828245;IPI00830150;IPI00761459;IPI00136897;IPI00830449,-0.22,-0.11,,,0.05,4,4,4,6.8,1.08E-07,74.2,15,+,78730198,Sh3bp1;AL592169.1-001;AL592169.1-003;AL592169.1-002;3bp1;AL592169.1-004,A2A5V4;A2A5V2;A2A5V3;P55194;A2A5V1,SH3-domain binding protein 1;SH3 domain-binding protein 1
IPI00828253;IPI00474450;IPI00875799;IPI00652554;IPI00776335;IPI00775774,0,0,0.08,0.01,0.05,71,71,71,25.1,0.00E+00,425.8,X,+,80194242,Dmd;RP23-58B9.1-001,A2A9Z0;Q5U476;Q9R0A2;P11531;Q71UQ8;Q71UQ9,"Dystrophin, muscular dystrophy;Dmd protein;Dystrophin"
IPI00828271,,,,,,1,1,1,1.6,5.52E-05,75.4,10,-,79593296,Dos,Q66L44-1;Q66L44,Protein Dos;Downstream of Stk11 protein
IPI00828306,-0.23,,0.04,-0.37,-0.11,36,1,1,14.6,0.00E+00,362.2,,,,,,
IPI00828325;IPI00127764;IPI00850136,0.04,0.02,-0.18,0.02,-0.08,10,10,10,5.5,9.87E-23,232.8,8,+,42325127,Pcm1;mCG_17738,Q9R0L6-2;Q9R0L6;Q9R0L6-1;B2RSW8,"Pericentriolar material 1 protein;Pericentriolar material 1;Pericentriolar material 1, isoform CRA_b"
IPI00828329;IPI00466901;IPI00551443;IPI00551400,0.08,0.01,-0.21,-0.16,,15,15,8,19.3,1.77E-111,81.7,7,+,149135656,Brsk2;Kiaa4256,Q69Z98-1;Q69Z98;Q69Z98-3;Q69Z98-2;Q69Z98-4,BR serine/threonine-protein kinase 2
IPI00828347;IPI00274979;IPI00750010;IPI00750317,,0.05,,,,2,2,2,1.8,2.32E-04,135.1,2,-,62531471,Kcnh7;RP23-34J8.1-001;Erg3;RP23-34J8.1-002;RP23-34J8.1-003,A2AUY8;Q9ER47;Q8CC38;Q8C782,Potassium voltage-gated channel subfamily H (Eag-related) member 7;Potassium voltage-gated channel subfamily H member 7;Voltage-gated potassium channel subunit Kv11.3;Ether-a-go-go-related gene potassium channel 3;Putative uncharacterized protein
IPI00828358;IPI00135327;IPI00230686;IPI00230685;IPI00230684,0.19,-0.13,,,0,22,22,22,28.1,1.64E-194,119.7,2,+,124978336,Slc12a1;RP23-216B20.1-001;mCG_6138;Nkcc2;RP23-216B20.1-002;RP23-216B20.1-003,A2AQ52;P55014-1;P55014;A2AQ50;P55014-4;A2AQ51;P55014-3,"Solute carrier family 12, member 1;Solute carrier family 12, member 1, isoform CRA_d;Solute carrier family 12 member 1;Bumetanide-sensitive sodium-(potassium)-chloride cotransporter 2;BSC1;Kidney-specific Na-K-Cl symporter;Solute carrier family 12, member 1, isoform CRA_b;Solute carrier family 12, member 1, isoform CRA_a"
IPI00828361;IPI00828405;IPI00466369;IPI00828462;IPI00223561,-0.33,-0.09,1.13,,,4,4,4,4.5,1.08E-17,114.1,14,-,105508999,Rbm26,Q6NZN0-1;Q6NZN0;Q6NZN0-2;Q6NZN0-4;Q6NZN0-3;Q6NZN0-5,RNA-binding protein 26;RNA-binding motif protein 26
IPI00828412;IPI00122696,-0.19,-0.07,0.12,0.04,-0.04,9,9,7,30.6,1.28E-166,47.7,4,-,128986762,Rbbp4;RP23-391E6.3-001;mCG_12245;Rbap48,A2A875;Q60972,"Retinoblastoma binding protein 4;Retinoblastoma binding protein 4, isoform CRA_a;Histone-binding protein RBBP4;Retinoblastoma-binding protein 4;Retinoblastoma-binding protein p48;Chromatin assembly factor 1 subunit C;Chromatin assembly factor I p48 subunit;CAF-I 48 kDa subunit;CAF-I p48;Nucleosome-remodeling factor subunit RBAP48"
IPI00828479;IPI00127558;IPI00409360;IPI00404355,0.16,0.17,0.07,0.4,-0.36,17,17,17,45.4,0.00E+00,74.6,11,-,116033203,Acox1;RP23-42F6.11-002;mCG_6832;Acox;Paox;RP23-42F6.11-001;RP23-42F6.11-003,A2A850;Q9R0H0;Q8BW35;Q8BYC3;A2A848;Q8C168,"Acyl-Coenzyme A oxidase 1, palmitoyl;Acyl-Coenzyme A oxidase 1, palmitoyl, isoform CRA_a;Peroxisomal acyl-coenzyme A oxidase 1;Palmitoyl-CoA oxidase;Putative uncharacterized protein;Acyl-Coenzyme A oxidase 1, palmitoyl, isoform CRA_b"
IPI00828488;IPI00853914;IPI00622847;IPI00405058;IPI00890022,-0.23,-0.05,0.04,-0.11,0.02,16,16,16,57.8,4.87E-255,37.4,6,-,51410433,Hnrnpa2b1;Hnrpa2b1,O88569-1;O88569;O88569-2;O88569-3;B7ZP22,Heterogeneous nuclear ribonucleoproteins A2/B1;hnRNP A2 / hnRNP B1;Heterogeneous nuclear ribonucleoprotein A2/B1
IPI00828490;IPI00828543;IPI00776411,-0.03,-0.05,0.01,0.06,0.01,11,11,11,6.9,1.12E-87,215.1,X,-,71188134,Hcfc1;RP23-252M19.5-005;RP23-252M19.5-001,Q61191;B1AUX2;B1AUX1;Q3USQ6,Host cell factor;HCF-1;C1 factor;HCF N-terminal chain 1;HCF N-terminal chain 2;HCF N-terminal chain 3;HCF N-terminal chain 4;HCF N-terminal chain 5;HCF N-terminal chain 6;HCF C-terminal chain 1;HCF C-terminal chain 2;HCF C-terminal chain 3;HCF C-terminal chain 4;HCF C-terminal chain 5;HCF C-terminal chain 6;Host cell factor C1;Putative uncharacterized protein
IPI00828495;IPI00127820;IPI00831167,0.04,0.13,0.09,-0.05,0.3,6,6,4,34,1.29E-50,24.4,X,-,162895524,Rab9;RP23-408K4.3-002;Rab9a;Sid99;Rab9A;RP23-408K4.3-001;mCG_116026;RP23-408K4.3-003,A2AFP5;Q9R0M6;Q0PD48;A2AFP4,"RAB9, member RAS oncogene family;Ras-related protein Rab-9A;Sid 99;Rab9A;MCG116026, isoform CRA_a"
IPI00828513;IPI00108895,-0.07,0.05,0,0.06,0.26,13,13,13,47.1,2.01E-151,47.4,7,-,28826736,Psmc4;mCG_23676;Tbp7,Q3TFA5;Q3TJ97;Q3TUN5;Q3UBF0;Q52L53;Q569X4;Q6ZWN9;Q8BKU2;P54775,"Putative uncharacterized protein;Psmc4 protein;Proteasome (Prosome, macropain) 26S subunit, ATPase, 4;26S protease regulatory subunit 6B;Proteasome 26S subunit ATPase 4;MB67-interacting protein;MIP224;TAT-binding protein 7;CIP21"
IPI00828578;IPI00133596;IPI00677566;IPI00648131;IPI00648599,0.12,-0.05,,,,6,6,6,10.5,6.22E-29,67.7,4,-,154634235,Prkcz;RP23-298E4.6-001;mCG_23123;Prkcz2;Pkcz;RP23-298E4.6-002,A2AD76;A4QPC7;Q3UHM5;Q7TST7;Q02956;Q3V341;Q6PF82,"Protein kinase C, zeta;Putative uncharacterized protein;Protein kinase C-zeta 2;Protein kinase C zeta type;nPKC-zeta;Prkcz protein"
IPI00828615;IPI00466711;IPI00134549;IPI00310109;IPI00222967;IPI00222968,0.11,0.59,0.46,0.37,0.26,6,6,6,16.4,7.21E-140,45.7,X,-,35755316,Lamp2;RP23-193O17.2-001;mCG_1450;RP23-193O17.2-003;Lamp-2;RP23-193O17.2-002,A2A430;Q3TWE1;Q3TXG5;Q3UIW3;Q8C5K0;P17047-1;P17047;Q8BSG8;Q8C876;Q9CZU7;P17047-2;P17047-3,"Lysosomal membrane glycoprotein 2;Lysosomal membrane glycoprotein 2, isoform CRA_d;Putative uncharacterized protein;Lysosomal membrane glycoprotein 2, isoform CRA_a;Lysosome-associated membrane glycoprotein 2;Lysosomal membrane glycoprotein type B;CD107 antigen-like family member B;Lysosomal membrane glycoprotein 2, isoform CRA_b;Lysosomal-associated membrane protein 2"
IPI00828649;IPI00226466;IPI00927973;IPI00648191;IPI00648837,-0.02,-0.13,-0.01,0.02,-0.25,7,7,7,16.6,1.27E-95,63.2,4,+,151307840,Dnajc11;RP23-460D14.2-001,Q5U458-2;Q5U458;A2A8C9;Q5U458-1,"DnaJ homolog subfamily C member 11;DnaJ (Hsp40) homolog, subfamily C, member 11"
IPI00828712,0.74,0.79,,,0.31,11,1,1,36.3,3.87E-173,56.4,X,-,71468800,Flna,D3Z0G4,Putative uncharacterized protein Flna
IPI00828741;IPI00130147;IPI00754017;IPI00308402;IPI00915507;IPI00757982;IPI00750190,-0.27,,0.15,,0.01,4,4,4,16.3,1.56E-18,33.2,2,+,154616869,C130057N11Rik;Raly;RP23-480H10.2-003;Merc;RP23-480H10.2-004;RP23-480H10.2-001;mCG_3684;RP23-480H10.2-006;RP23-480H10.2-007,A2AU63;Q64012-1;Q64012;A2AU62;Q64012-2;Q3TGD3;Q3U3F6;A2AU61;A2AU60,"HnRNP-associated with lethal yellow;RNA-binding protein Raly;hnRNP associated with lethal yellow protein;Maternally-expressed hnRNP C-related protein;Putative uncharacterized protein;HnRNP-associated with lethal yellow, isoform CRA_f"
IPI00828779;IPI00667233;IPI00606642,0.06,,,-0.16,,2,2,2,1.6,1.46E-05,124.8,2,+,126834447,Ap4e1;RP23-26A12.1-001;RP23-26A12.1-004,A2ASB4;Q8BYK2;Q80V94;A2ASB3,"Adaptor-related protein complex AP-4, epsilon 1;Putative uncharacterized protein;AP-4 complex subunit epsilon-1;Adapter-related protein complex 4 subunit epsilon-1;AP-4 adapter complex subunit epsilon;Epsilon subunit of AP-4;Epsilon-adaptin"
IPI00828796,-0.2,0.03,-0.04,-0.51,-0.15,24,24,2,30.9,2.70E-123,117.7,19,-,37343231,Ide,Q8CGB9,Insulin degrading enzyme
IPI00828826;IPI00421237;IPI00648678;IPI00648633;IPI00648270;IPI00620578,0.45,0.75,0.13,,-0.01,7,7,7,12.1,1.48E-19,80.1,4,+,53453529,Slc44a1;RP23-20E10.4-005;Cd92;Cdw92;Ctl1;RP23-20E10.4-006;RP23-20E10.4-001;RP23-20E10.4-003,A2AMH4;Q6X893-2;Q6X893;Q6X893-1;A2AMH5;Q14DK0;A2AMH3,"Solute carrier family 44, member 1;Choline transporter-like protein 1;Solute carrier family 44 member 1"
IPI00828950;IPI00130187;IPI00228525;IPI00228526;IPI00475306;IPI00828539;IPI00652687,-0.03,-0.17,-0.04,,-0.01,15,15,15,23.7,1.75E-290,96.5,11,+,100870769,Atp6v0a1;Atp6n1;RP23-278K23.1-002;mCG_20226;RP23-278K23.1-001;RP23-278K23.1-003,Q9Z1G4-2;Q9Z1G4;A2A5A1;Q9Z1G4-1;Q9Z1G4-3;A2A5A0;Q3TXT5;Q3TY98;Q6NXX6;A2A5A2,"V-type proton ATPase 116 kDa subunit a isoform 1;Vacuolar proton translocating ATPase 116 kDa subunit a isoform 1;Clathrin-coated vesicle/synaptic vesicle proton pump 116 kDa subunit;Vacuolar proton pump subunit 1;Vacuolar adenosine triphosphatase subunit Ac116;ATPase, H+ transporting, lysosomal V0 subunit a isoform 1;ATPase, H+ transporting, lysosomal V0 subunit A1, isoform CRA_c;ATPase, H+ transporting, lysosomal V0 subunit A1, isoform CRA_j;Putative uncharacterized protein;Atp6v0a1 protein;ATPase, H+ transporting, lysosomal V0 subunit A1, isoform CRA_a"
IPI00828952;IPI00226234;IPI00649175,-0.03,-0.09,-0.03,0.14,0.24,16,16,16,25.3,9.85E-185,87.2,4,-,94231830,Plaa;RP23-282E10.1-001;mCG_11651;Plap;RP23-282E10.1-005,A4QPD6;P27612;B1AWF9,"Phospholipase A2, activating protein;Phospholipase A2, activating protein, isoform CRA_a;Phospholipase A-2-activating protein"
IPI00830152;IPI00331736;IPI00831529;IPI00858194;IPI00475262;IPI00831351,,0.14,,,,4,2,2,9.3,2.84E-15,60.6,3,-,94862452,Pip5k1a;Pip5k1b,Q3U917;P70182-1;P70182;P70182-2,Putative uncharacterized protein;Phosphatidylinositol-4-phosphate 5-kinase type-1 alpha;Phosphatidylinositol-4-phosphate 5-kinase type I alpha;Phosphatidylinositol-4-phosphate 5-kinase type I beta;68 kDa type I phosphatidylinositol-4-phosphate 5-kinase
IPI00830193;IPI00624363;IPI00830376;IPI00623400;IPI00755791;IPI00876282;IPI00121581;IPI00798436;IPI00831517;IPI00831440;IPI00652644,0.01,0.01,0.06,0.06,0.02,16,16,9,23.4,9.76E-73,90.7,14,-,27232654,Slmap;Kiaa1601;Slap,Q3URD3-1;Q3URD3;Q3URD3-2;Q3URD3-4;Q3URD3-5;Q3URD3-3,Sarcolemmal membrane-associated protein
IPI00830208;IPI00341619,,-0.37,,,,4,2,2,4.9,4.63E-09,98.2,12,+,114252719,Pacs2;Kiaa0602;Pacs1l,Q3V3Q7;Q3V3Y3;Q6PCX4,Phosphofurin acidic cluster sorting protein 2;PACS1-like protein;Putative uncharacterized protein;Pacs2 protein
IPI00830222;IPI00128391,-0.31,,,,,2,2,2,8.2,5.24E-19,42.2,15,-,88786314,Mlc1;mKIAA0027;mCG_125029,Q80U92;Q8BLR0;Q8VHK5,"MKIAA0027 protein;Megalencephalic leukoencephalopathy with subcortical cysts 1 homolog (Human), isoform CRA_b;Putative uncharacterized protein;Membrane protein MLC1"
IPI00830240;IPI00109536,,,,,-0.73,14,14,14,66.6,3.06E-229,36.9,13,+,4573321,Akr1c21,Q91WR5,Aldo-keto reductase family 1 member C21;17-alpha-hydroxysteroid dehydrogenase;3-alpha-hydroxysteroid dehydrogenase;Dihydrodiol dehydrogenase type 1;Dihydrodiol dehydrogenase type 3
IPI00830252;IPI00136364;IPI00720240,,,,,,1,1,1,3.2,1.71E-11,45.6,16,+,95479165,Kcnj15;Kir4.2;mCG_2220,B7ZNJ9;Q3TNE6;Q3TR79;Q3UQ02;O88932;Q53Z04,"Potassium inwardly-rectifying channel, subfamily J, member 15;Putative uncharacterized protein;ATP-sensitive inward rectifier potassium channel 15;Potassium channel, inwardly rectifying subfamily J member 15;Inward rectifier K(+) channel Kir4.2;Inward rectifying potassium channel Kir4.2;Kcnj15 protein;Potassium inwardly rectifying channel;Potassium inwardly-rectifying channel, subfamily J, member 15, isoform CRA_a"
IPI00830265,,,,,,14,1,1,38.5,1.56E-69,53.7,11,-,100337667,Acly;RP23-392I3.9-006,Q3TS02,ATP citrate lyase;Putative uncharacterized protein
IPI00830314;IPI00226521,-0.13,,0.01,0.1,,2,2,2,12.3,7.32E-05,33,14,-,56516124,Sdr39u1,Q5M8N4-1;Q5M8N4;Q5M8N4-2,Epimerase family protein SDR39U1;Short chain dehydrogenase/reductase family 39U member 1
IPI00830356;IPI00230453,,,,,,1,1,1,2.5,2.85E-04,41.2,1,-,36480031,Lman2l;Vipl,P59481,VIP36-like protein;Lectin mannose-binding 2-like
IPI00830407;IPI00336472,0.04,,,,,1,1,1,2.9,1.36E-23,47.5,16,-,91615982,Dnajc28;ORF28;mCG_11452,Q8VCE1;Q8C4S9,DnaJ homolog subfamily C member 28;Putative uncharacterized protein;Open reading frame 28
IPI00830422;IPI00831436;IPI00118650;IPI00928167;IPI00928131;IPI00928373,-0.02,-0.17,0.13,,,7,7,7,34.7,1.98E-63,21.5,12,+,85455321,Dnal1;Dnalc1,Q05A62-1;Q05A62;Q05A62-2;Q05A62-3,"Dynein light chain 1, axonemal"
IPI00830432,,0.05,,,,12,1,1,51.9,1.91E-67,30.4,,,,,,
IPI00830443;IPI00467840;IPI00830273;IPI00830383,0.64,0.12,,0.33,0.08,5,5,5,9.3,1.25E-11,79.5,7,+,108812219,Clpb;Skd3;mCG_6783,Q3TXD4;Q3U3U6;Q8CCN6;Q60649;Q3UGS9;Q3URM1;Q9DA85,"Putative uncharacterized protein;Caseinolytic peptidase B protein homolog;Suppressor of potassium transport defect 3;ClpB caseinolytic peptidase B homolog (E. coli), isoform CRA_c"
IPI00830478,-0.09,-0.09,0.01,-0.03,-0.09,15,15,15,20.8,3.30E-159,121.6,13,-,48974585,FAM120A;Kiaa0183;Ossa;Fam120a;BC010304,Q6A0A9;Q3V3S0;Q7TMZ0,Constitutive coactivator of PPAR-gamma-like protein 1;Oxidative stress-associated Src activator;Protein FAM120A;Putative uncharacterized protein;Fam120a protein
IPI00830611;IPI00125950;IPI00279931,,0.08,-0.04,,,3,3,3,4.8,1.99E-11,70.3,9,+,21351367,Carm1;Prmt4,Q9WVG6-1;Q9WVG6;Q9WVG6-2,Histone-arginine methyltransferase CARM1;Protein arginine N-methyltransferase 4;Coactivator-associated arginine methyltransferase 1
IPI00830613,-0.08,-0.14,-0.06,-0.35,-0.18,29,27,1,51.9,0.00E+00,98.3,2,+,156246645,Epb41l1;Epb4;Epb4.1l1;Kiaa0338,Q9Z2H5-1;Q9Z2H5,Band 4.1-like protein 1;Neuronal protein 4.1;4.1N
IPI00830673;IPI00467006;IPI00875328;IPI00222983;IPI00876371;IPI00720031;IPI00284657;IPI00831236;IPI00830953,0.06,0.23,,,0.18,6,6,6,33.1,1.91E-47,27.1,1,+,89110489,Eif4e2;Eif4el3,Q80ZJ3;Q8BMB3;Q0P688;Q9D334;Q3UUT0,Eif4e2 protein;Eukaryotic translation initiation factor 4E type 2;Eukaryotic translation initiation factor 4E-like 3;eIF4E-like protein 4E-LP;Eukaryotic translation initiation factor 4E member 2;Putative uncharacterized protein
IPI00830691;IPI00620960;IPI00831186;IPI00918287;IPI00460449,0.12,0,-0.08,,,10,10,1,12,4.42E-29,82.2,18,+,39152799,Arhgap26;Kiaa0621,B9EJ96;Q3U860;Q6ZQ82,Arhgap26 protein;Putative uncharacterized protein;Rho GTPase-activating protein 26;Rho-type GTPase-activating protein 26
IPI00830749;IPI00845618,-0.12,0.15,-0.04,0.52,0.58,33,33,14,19.8,0.00E+00,288.7,1,-,92663435,Col6a3,Q05504;Q66K11;Q6PES2;Q80VJ0;Q99K31;O88493,Collagen alpha 3 chain type VI;Col6a3 protein;Type VI collagen alpha 3 subunit
IPI00830783,-0.15,,,,,2,1,1,6.9,2.81E-06,46.8,,,,,,
IPI00830829;IPI00420593;IPI00882083;IPI00624662,-0.04,0.62,0,-0.28,-0.11,6,6,5,6.4,1.47E-26,140.4,1,-,99602625,Hisppd1;Kiaa0433;Vip2;AW555814,Q6ZQB6-1;Q6ZQB6;Q80V47;Q8BWK5;Q6ZQB6-2,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2;InsP6 and PP-IP5 kinase 2;Histidine acid phosphatase domain-containing protein 1;Hisppd1 protein;Putative uncharacterized protein
IPI00830849;IPI00751738;IPI00830151;IPI00756446;IPI00750446;IPI00953737;IPI00330332,-0.1,-0.11,0.13,,,12,12,12,17.3,2.64E-90,118.2,,,,,,
