Accession,Description,Entry Name,Gene names,Y1_OG  (Spec count),Y2_OG (Spec count),Y3_OG (Spec count),Y4_OG (Spec count),Y5_OG (Spec count),Y6_OG (Spec count),Y1_HP (Spec count),Y2_HP (Spec count),Y3_HP (Spec count),Y4_HP (Spec count),Y5_HP (Spec count),Y6_HP (Spec count),O1_OG (Spec count),O2_OG (Spec count),O3_OG (Spec count),O4_OG (Spec count),O5_OG (Spec count),O6_OG (Spec count),O1_HP (Spec count),O2_HP (Spec count),O3_HP (Spec count),O4_HP (Spec count),O5_HP (Spec count),O6_HP (Spec count),G_value OG,SAM (D) OG,OG_Fold Change (Old/Young),G_value HP,SAM (D) HP,HP_Fold Change (Old/Young),G-val OG_HP,SAM (D) OG_HP
O70343,Peroxisome proliferator-activated receptor gamma coactivator 1-alpha OS=Mus musculus GN=Ppargc1a PE=1 SV=1,PRGC1_MOUSE,Ppargc1a Pgc1 Pgc1a Ppargc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
O88735,Isoform 2 of Ensconsin OS=Mus musculus GN=Map7,MAP7_MOUSE,Map7 Mtap7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
P21619,Isoform B3 of Lamin-B2 OS=Mus musculus GN=Lmnb2,LMNB2_MOUSE,Lmnb2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
P23683,Homeobox even-skipped homolog protein 1 OS=Mus musculus GN=Evx1 PE=2 SV=1,EVX1_MOUSE,Evx1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
P26350,Prothymosin alpha OS=Mus musculus GN=Ptma PE=1 SV=2,PTMA_MOUSE,Ptma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
P28229,Gap junction gamma-1 protein OS=Mus musculus GN=Gjc1 PE=1 SV=1,CXG1_MOUSE,Gjc1 Cxn-45 Gja7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
P39749,Flap endonuclease 1 OS=Mus musculus GN=Fen1 PE=1 SV=1,FEN1_MOUSE,Fen1 Fen-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
P51432,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 OS=Mus musculus GN=Plcb3 PE=2 SV=2",PLCB3_MOUSE,Plcb3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
P52785,Retinal guanylyl cyclase 2 OS=Mus musculus GN=Gucy2f PE=2 SV=1,GUC2E_MOUSE,Gucy2e Guc2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
P58501,Isoform 2 of PAX3- and PAX7-binding protein 1 OS=Mus musculus GN=Paxbp1,PAXB1_MOUSE,Paxbp1 Gcfc Gcfc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
P58660,Caspase recruitment domain-containing protein 10 OS=Mus musculus GN=Card10 PE=2 SV=1,CAR10_MOUSE,Card10 Bimp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
P70323,Isoform 2 of T-box transcription factor TBX1 OS=Mus musculus GN=Tbx1,TBX1_MOUSE,Tbx1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
P70352,Ecto-ADP-ribosyltransferase 5 OS=Mus musculus GN=Art5 PE=2 SV=3,NAR5_MOUSE,Art5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
P97465,Docking protein 1 OS=Mus musculus GN=Dok1 PE=1 SV=2,DOK1_MOUSE,Dok1 Dok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
P97497,Sex hormone-binding globulin OS=Mus musculus GN=Shbg PE=2 SV=1,SHBG_MOUSE,Shbg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q04646,Sodium/potassium-transporting ATPase subunit gamma OS=Mus musculus GN=Fxyd2 PE=2 SV=2,ATNG_MOUSE,Fxyd2 Atp1c Atp1g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q3TDD9,Protein phosphatase 1 regulatory subunit 21 OS=Mus musculus GN=Ppp1r21 PE=2 SV=2,PPR21_MOUSE,Ppp1r21 Ccdc128 Klraq1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q3TYL0,Putative IQ motif and ankyrin repeat domain-containing protein LOC642574 homolog OS=Mus musculus PE=5 SV=2,YH010_MOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q3UMM4,Cyclin-dependent kinase 10 OS=Mus musculus GN=Cdk10 PE=2 SV=1,CDK10_MOUSE,Cdk10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q3UN02,Lysocardiolipin acyltransferase 1 OS=Mus musculus GN=Lclat1 PE=2 SV=2,LCLT1_MOUSE,Lclat1 Alcat1 Gm91 Lycat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q50L43,Cytosolic phospholipase A2 delta OS=Mus musculus GN=Pla2g4d PE=2 SV=3,PA24D_MOUSE,Pla2g4d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q571H0,Nucleolar pre-ribosomal-associated protein 1 OS=Mus musculus GN=Urb1 PE=2 SV=2,NPA1P_MOUSE,Urb1 Kiaa0539 Npa1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q5HZI9,Solute carrier family 25 member 51 OS=Mus musculus GN=Slc25a51 PE=2 SV=1,S2551_MOUSE,Slc25a51 Mcart1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q60854,Serpin B6 OS=Mus musculus GN=Serpinb6 PE=1 SV=1,SPB6_MOUSE,Serpinb6 Serpinb6a Spi3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q61035,"Histidine--tRNA ligase, cytoplasmic OS=Mus musculus GN=Hars PE=2 SV=2",SYHC_MOUSE,Hars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q61092,Laminin subunit gamma-2 OS=Mus musculus GN=Lamc2 PE=1 SV=2,LAMC2_MOUSE,Lamc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q61362,Isoform 3 of Chitinase-3-like protein 1 OS=Mus musculus GN=Chi3l1,CH3L1_MOUSE,Chi3l1 Brp39 Chil1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q61749,Isoform 2 of Translation initiation factor eIF-2B subunit delta OS=Mus musculus GN=Eif2b4,EI2BD_MOUSE,Eif2b4 Eif2b Eif2bd Jgr1a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q62219,Isoform 9 of Transforming growth factor beta-1-induced transcript 1 protein OS=Mus musculus GN=Tgfb1i1,TGFI1_MOUSE,Tgfb1i1 Ara55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q640P2,Angiopoietin-related protein 1 OS=Mus musculus GN=Angptl1 PE=2 SV=1,ANGL1_MOUSE,Angptl1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q64324,Syntaxin-binding protein 2 OS=Mus musculus GN=Stxbp2 PE=2 SV=1,STXB2_MOUSE,Stxbp2 Unc18b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q6DID3,Protein SCAF8 OS=Mus musculus GN=Scaf8 PE=1 SV=1,SCAF8_MOUSE,Scaf8 Kiaa1116 Rbm16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q6NZQ8,Isoform 5 of E3 ubiquitin-protein ligase MARCH1 OS=Mus musculus GN=March1,MARH1_MOUSE,March1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q6P1G2,Isoform 3 of Lysine-specific demethylase 2B OS=Mus musculus GN=Kdm2b,KDM2B_MOUSE,Kdm2b Fbl10 Fbxl10 Jhdm1b Kiaa3014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q6P6I6,DNA-directed RNA polymerase II subunit GRINL1A OS=Mus musculus GN=Polr2m PE=2 SV=2,GRL1A_MOUSE,Polr2m Grinl1a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q6PCZ4,Melanoma-associated antigen E1 OS=Mus musculus GN=Magee1 PE=1 SV=1,MAGE1_MOUSE,Magee1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q6PNC0,DmX-like protein 1 OS=Mus musculus GN=Dmxl1 PE=1 SV=1,DMXL1_MOUSE,Dmxl1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q6RHR9,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1 OS=Mus musculus GN=Magi1 PE=1 SV=1",MAGI1_MOUSE,Magi1 Baiap1 Bap1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q6ZQF0,DNA topoisomerase 2-binding protein 1 OS=Mus musculus GN=Topbp1 PE=2 SV=2,TOPB1_MOUSE,Topbp1 Kiaa0259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q70E20,"Isoform 2 of Sushi, nidogen and EGF-like domain-containing protein 1 OS=Mus musculus GN=Sned1",SNED1_MOUSE,Sned1 Snep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q80V72,Inositol hexakisphosphate kinase 2 OS=Mus musculus GN=Ip6k2 PE=2 SV=2,IP6K2_MOUSE,Ip6k2 Ihpk2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q80Y50,Isoform 5 of Calmodulin-binding transcription activator 2 OS=Mus musculus GN=Camta2,CMTA2_MOUSE,Camta2 Kiaa0909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q80Y75,DnaJ homolog subfamily B member 13 OS=Mus musculus GN=Dnajb13 PE=2 SV=1,DJB13_MOUSE,Dnajb13 Tsarg Tsarg3 Tsarg6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q810M6,Uncharacterized protein C17orf97 homolog OS=Mus musculus PE=2 SV=1,LIAT1_MOUSE,Liat1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q8BG02,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B gamma isoform OS=Mus musculus GN=Ppp2r2c PE=2 SV=1,2ABG_MOUSE,Ppp2r2c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q8BGV9,Cysteine protease ATG4D OS=Mus musculus GN=Atg4d PE=1 SV=1,ATG4D_MOUSE,Atg4d Apg4d Autl4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q8C0R7,Isoform 2 of Zinc finger MYND domain-containing protein 15 OS=Mus musculus GN=Zmynd15,ZMY15_MOUSE,Zmynd15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q8CB44,GRAM domain-containing protein 4 OS=Mus musculus GN=Gramd4 PE=2 SV=1,GRAM4_MOUSE,Gramd4 Dip Kiaa0767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q8CDG5,CREB3 regulatory factor OS=Mus musculus GN=Crebrf PE=2 SV=1,CRERF_MOUSE,Crebrf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q8CIR4,Transient receptor potential cation channel subfamily M member 6 OS=Mus musculus GN=Trpm6 PE=2 SV=1,TRPM6_MOUSE,Trpm6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q8K1A5,Isoform 3 of Transmembrane protein 41B OS=Mus musculus GN=Tmem41b,TM41B_MOUSE,Tmem41b D7Ertd743e Kiaa0033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q8K2Z2,Pre-mRNA-processing factor 39 OS=Mus musculus GN=Prpf39 PE=2 SV=3,PRP39_MOUSE,Prpf39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q8K4B0,Metastasis-associated protein MTA1 OS=Mus musculus GN=Mta1 PE=1 SV=1,MTA1_MOUSE,Mta1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q8R1K4,Isoform 2 of 5-phosphohydroxy-L-lysine phospho-lyase OS=Mus musculus GN=Phykpl,AT2L2_MOUSE,Phykpl Agxt2l2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q8VCB3,"Glycogen [starch] synthase, liver OS=Mus musculus GN=Gys2 PE=1 SV=2",GYS2_MOUSE,Gys2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q8VD53-2,Isoform 2 of Alkaline ceramidase 2 OS=Mus musculus GN=Acer2,ACER2_MOUSE,Acer2 Asah3l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q8VDK3,ETS-related transcription factor Elf-5 OS=Mus musculus GN=Elf5 PE=2 SV=2,ELF5_MOUSE,Elf5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q8VEG6,Isoform 3 of CCR4-NOT transcription complex subunit 6-like OS=Mus musculus GN=Cnot6l,CNO6L_MOUSE,Cnot6l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q920C1,Isoform Beta of Chordin-like protein 1 OS=Mus musculus GN=Chrdl1,CRDL1_MOUSE,Chrdl1 Ng1 Nrln1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q99J72,Isoform 4 of DNA dC->dU-editing enzyme APOBEC-3 OS=Mus musculus GN=Apobec3,ABEC3_MOUSE,Apobec3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q99JT1,"Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial OS=Mus musculus GN=Pet112 PE=1 SV=1",GATB_MOUSE,Gatb Pet112 Pet112l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q99KR3,Beta-lactamase-like protein 2 OS=Mus musculus GN=Lactb2 PE=1 SV=1,LACB2_MOUSE,Lactb2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q99NG0,Helicase ARIP4 OS=Mus musculus GN=Rad54l2 PE=1 SV=1,ARIP4_MOUSE,Rad54l2 Arip4 Srisnf2l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q99P69,Isoform 2 of Kinetochore protein Nuf2 OS=Mus musculus GN=Nuf2,NUF2_MOUSE,Nuf2 Cdca1 Nuf2r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q9CQ04,2-oxoglutarate and iron-dependent oxygenase domain-containing protein 2 OS=Mus musculus GN=Ogfod2 PE=2 SV=1,OGFD2_MOUSE,Ogfod2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q9ESM6,Glycerophosphoinositol inositolphosphodiesterase GDPD2 OS=Mus musculus GN=Gdpd2 PE=1 SV=1,GDPD2_MOUSE,Gdpd2 Gde3 Obdpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q9JHT5,AMME syndrome candidate gene 1 protein homolog OS=Mus musculus GN=Ammecr1 PE=2 SV=1,AMMR1_MOUSE,Ammecr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q9JLG8,Isoform 2 of Calpain-15 OS=Mus musculus GN=Capn15,CAN15_MOUSE,Capn15 Solh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q9QZ04,MAGE-like protein 2 OS=Mus musculus GN=Magel2 PE=2 SV=1,MAGL2_MOUSE,Magel2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q9WUL6,Mitogen-activated protein kinase kinase kinase 14 OS=Mus musculus GN=Map3k14 PE=1 SV=1,M3K14_MOUSE,Map3k14 Nik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q9Z0H0,Isoform 2 of Cell division cycle 7-related protein kinase OS=Mus musculus GN=Cdc7,CDC7_MOUSE,Cdc7 Cdc7l1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q9Z0U1,Tight junction protein ZO-2 OS=Mus musculus GN=Tjp2 PE=1 SV=2,ZO2_MOUSE,Tjp2 Zo2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
Q9Z2R9,Eukaryotic translation initiation factor 2-alpha kinase 1 OS=Mus musculus GN=Eif2ak1 PE=1 SV=2,E2AK1_MOUSE,Eif2ak1 Hri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002184258,0.559,#DIV/0!,0.166666667,0.000,#DIV/0!,0.001,0.557
A2CG49,Isoform 9 of Kalirin OS=Mus musculus GN=Kalrn,KALRN_MOUSE,Kalrn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.004148679,0.629,#DIV/0!,0.166666667,0.000,#DIV/0!,0.002,0.986
A4Q9F3,Isoform 2 of Protein polyglycylase TTLL10 OS=Mus musculus GN=Ttll10,TTL10_MOUSE,Ttll10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.004148679,0.629,#DIV/0!,0.166666667,0.000,#DIV/0!,0.002,0.986
A8R0V4,Exocrine gland-secreted peptide 22 OS=Mus musculus GN=Esp22 PE=1 SV=1,ESP22_MOUSE,Esp22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.004148679,0.629,#DIV/0!,0.166666667,0.000,#DIV/0!,0.002,0.986
E9PYY5,Isoform 2 of WD repeat-containing protein 78 OS=Mus musculus GN=Wdr78,WDR78_MOUSE,Wdr78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.004148679,0.629,#DIV/0!,0.166666667,0.000,#DIV/0!,0.002,0.986
O08796,Eukaryotic elongation factor 2 kinase OS=Mus musculus GN=Eef2k PE=1 SV=1,EF2K_MOUSE,Eef2k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.004148679,0.629,#DIV/0!,0.166666667,0.000,#DIV/0!,0.002,0.986
O09010,"Beta-1,3-N-acetylglucosaminyltransferase lunatic fringe OS=Mus musculus GN=Lfng PE=1 SV=1",LFNG_MOUSE,Lfng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.004148679,0.629,#DIV/0!,0.166666667,0.000,#DIV/0!,0.002,0.986
P01786,Ig heavy chain V region MOPC 47A OS=Mus musculus PE=1 SV=1,HVM17_MOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.004148679,0.629,#DIV/0!,0.166666667,0.000,#DIV/0!,0.002,0.986
P05531,X-linked lymphocyte-regulated protein PM1 OS=Mus musculus GN=Xlr PE=2 SV=1,XLR_MOUSE,Xlr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.004148679,0.629,#DIV/0!,0.166666667,0.000,#DIV/0!,0.002,0.986
P23299,Potassium voltage-gated channel subfamily E member 1 OS=Mus musculus GN=Kcne1 PE=1 SV=1,KCNE1_MOUSE,Kcne1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.004148679,0.629,#DIV/0!,0.166666667,0.000,#DIV/0!,0.002,0.986
